FirstName,Phone,Notes
Rahul,9876543210,Interested in tech updates
Aisha,9123456789,Follow-up next week
John,9988776655,Likes short emails
Meena,8899001122,Called last Monday
Aman,9001122334,Requested product demo
Sara,9112233445,Prefers WhatsApp
Vikram,9877012345,Busy on weekends
Priya,9090909090,Asked for discount
David,9234567890,Sent brochure
Neha,9876123456,Will visit office tomorrow
Karan,9812345678,Needs invoice
Anita,9823456789,Likes morning calls
Ravi,9834567890,Shared email yesterday
Pooja,9845678901,Asked for callback
Aarav,9856789012,Meeting scheduled
Isha,9867890123,Wants PDF file
Arjun,9878901234,Will confirm soon
Nisha,9889012345,Requested samples
Sunny,9890123456,Not available today
Tina,9901234567,Interested in bulk order
Kabir,9912345678,Sent payment details
Anjali,9923456789,Prefers email
Manav,9934567890,Asked for price list
Riya,9945678901,Contact next month
Dev,9956789012,Shared reference code
Sneha,9967890123,New lead
Rohan,9978901234,Waiting for approval
Simran,9989012345,Called twice
Avi,9990123456,Changed phone number
Diya,9001234567,Gave feedback
Yash,9012345678,Attended event
Kriti,9023456789,Sent follow-up mail
Aditya,9034567890,Requested more info
Zara,9045678901,Needs call after 6 PM
Nitin,9056789012,Not interested
Jaya,9067890123,Asked for brochure
Irfan,9078901234,Available on weekends
Kiara,9089012345,Need urgent reply
Tarun,9090123456,Shared contact details
Meher,9101234567,Interested in meeting
